Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 2:4:51.380	-0.0127	-0.0601	0.9971	0.0	0.0	0.0	-3.093	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.480	-0.0112	-0.0581	0.9956	0.0	0.0	0.0	-3.093	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.480	-0.0112	-0.0581	0.9956	0.0	0.0	0.0	-3.093	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.480	-0.0112	-0.0581	0.9956	0.0	0.0	0.0	-3.093	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.480	-0.0112	-0.0581	0.9956	0.0	0.0	0.0	-3.093	0.802	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.560	-0.0112	-0.0596	0.9985	0.0	0.0	0.0	-3.093	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.560	-0.0112	-0.0596	0.9985	0.0	0.0	0.0	-3.093	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.560	-0.0112	-0.0596	0.9985	0.0	0.0	0.0	-3.093	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.560	-0.0112	-0.0596	0.9985	0.0	0.0	0.0	-3.093	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.560	-0.0112	-0.0596	0.9985	0.0	0.0	0.0	-3.093	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
 2000-0-0 2:4:51.560	-0.0112	-0.0596	0.9985	0.0	0.0	0.0	-3.093	0.802	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00406	0.06775
