timestep,vel_proxy_y
1173,0.04484439
1174,0.04338407
1175,0.04371508
1176,0.03907381
1177,0.03918523
1178,0.04010174
1179,0.04096095
1180,0.03996581
1181,0.03595925
1182,0.03247494
1183,0.03220287
1184,0.03289476
1185,0.03621797
1186,0.03845619
1187,0.04097799
1188,0.04429377
1189,0.04646758
1190,0.05269937
1191,0.05917376
1192,0.06090191
1193,0.06054028
1194,0.05989539
1195,0.05837964
1196,0.05586592
1197,0.05444028
1198,0.05317998
1199,0.05022200
1200,0.04734716
1201,0.04139274
1202,0.03346766
1203,0.02753553
1204,0.01918859
1205,0.01211538
1206,0.00525827
1207,-0.00027316
1208,-0.00170870
1209,-0.00481540
1210,-0.00644461
1211,-0.00692409
1212,-0.00639276
1213,-0.00509460
1214,-0.00238936
1215,0.00234037
1216,0.00755086
1217,0.01548333
1218,0.01960620
1219,0.02057004
1220,0.02085686
1221,0.02060662
1222,0.02046129
1223,0.02043894
1224,0.02298968
1225,0.02542954
1226,0.03281822
1227,0.04782899
1228,0.05690610
1229,0.06073181
1230,0.05993405
1231,0.05604777
1232,0.05374571
1233,0.05351513
1234,0.04948240
1235,0.05062364
1236,0.04912108
1237,0.04880453
1238,0.05141412
1239,0.05122560
1240,0.04796899
1241,0.04762577
1242,0.04654622
1243,0.04111473
1244,0.04187397
1245,0.04394132
1246,0.04100779
1247,0.04307622
1248,0.04430161
1249,0.04350136
1250,0.04419594
1251,0.04428553
1252,0.04201184
1253,0.04428396
1254,0.04346351
1255,0.04356417
1256,0.04276767
1257,0.04268169
1258,0.04143663
1259,0.04068527
1260,0.03981580
1261,0.04011140
1262,0.03928189
1263,0.04373519
1264,0.03849262
1265,0.04464107
1266,0.05015533
1267,0.05406474
1268,0.04921605
1269,0.05120529
1270,0.05608300
1271,0.06053059
1272,0.06362884
1273,0.06593565
1274,0.06401286
1275,0.06121755
1276,0.06051878
1277,0.05493229
1278,0.04988713
1279,0.04488883
1280,0.04333913
1281,0.03920558
1282,0.03565536
1283,0.03514173
1284,0.03545626
1285,0.03514639
1286,0.03311527
1287,0.03088873
1288,0.02751963
1289,0.02286717
1290,0.01867728
1291,0.01442662
1292,0.01004274
1293,0.00497657
1294,0.00170267
1295,-0.00073506
1296,-0.00169492
1297,-0.00111018
1298,0.00427346
1299,0.00700007
1300,0.00887773
1301,0.00262053
1302,0.00263458
1303,0.00559685
1304,0.00416252
1305,0.00603064
1306,0.01069833
1307,0.01582838
1308,0.01798863
1309,0.01991724
1310,0.02262084
1311,0.02346515
1312,0.02447242
1313,0.02923051
1314,0.03448042
1315,0.03620329
1316,0.04006498
1317,0.04641313
1318,0.04579864
1319,0.04292537
1320,0.04514367
1321,0.04347540
1322,0.04021639
1323,0.03957106
1324,0.03693016
1325,0.03358241
1326,0.03627770
1327,0.03254774
1328,0.03502474
1329,0.03531656
1330,0.03409940
1331,0.03257216
1332,0.03256315
1333,0.03217852
1334,0.02777766
1335,0.03012172
1336,0.03028242
1337,0.03390486
1338,0.04134454
1339,0.04147572
1340,0.04120548
1341,0.04285657
1342,0.04228615
1343,0.03797482
1344,0.03795739
1345,0.03972339
1346,0.03494493
1347,0.03814210
1348,0.03871429
1349,0.03640228
1350,0.03762396
1351,0.03774963
1352,0.03718897
1353,0.03813610
1354,0.03789045
1355,0.04028700
1356,0.04126580
1357,0.04277635
1358,0.04341110
1359,0.04422676
1360,0.04365134
1361,0.04486856
1362,0.04432464
1363,0.04898779
1364,0.04449730
1365,0.04919701
1366,0.05213431
1367,0.05393710
1368,0.04734499
1369,0.04674317
1370,0.04898286
1371,0.04790046
1372,0.04969086
1373,0.05538269
1374,0.05758904
1375,0.06245722
1376,0.06741151
1377,0.06546031
1378,0.06568912
1379,0.06374737
1380,0.05879664
1381,0.05795286
1382,0.05647360
1383,0.05642421
1384,0.05670862
1385,0.05539662
1386,0.05477139
1387,0.05139227
1388,0.04567586
1389,0.03897797
1390,0.03583286
1391,0.03396615
1392,0.03036221
1393,0.02633217
1394,0.02246440
1395,0.01834626
1396,0.01498730
1397,0.01221579
1398,0.01418354
1399,0.01521279
1400,0.01674114
1401,0.00856130
1402,0.00859557
1403,0.00958274
1404,0.00637034
1405,0.00647723
1406,0.01092704
1407,0.01455691
1408,0.01738091
1409,0.01910813
1410,0.02309392
1411,0.02828715
1412,0.03048925
1413,0.03154906
1414,0.03589667
1415,0.04000622
1416,0.04168093
1417,0.04527956
1418,0.04588692
1419,0.04633883
1420,0.04782994
1421,0.04672471
1422,0.04474270
1423,0.04359285
1424,0.04109232
1425,0.03851626
1426,0.04026045
1427,0.03915118
1428,0.04256142
1429,0.04167284
1430,0.04017782
1431,0.03834337
